Group,x,y,t,s
I,25.41614849,-149.7321461,1,0
I,-20.61403061,199.0289744,1,1
H,5.085486196,243.4438834,0,1
H,31.79574801,539.4578539,0,0
G,-18.00047227,200.5058275,1,1
I,-5.204961086,-6.133753403,1,1
I,-7.679702081,-148.7296888,0,0
G,-18.82321259,332.3781714,1,1
F,-10.41620245,235.1102603,1,0
I,1.845175126,-178.7263843,1,1
H,-7.603769981,265.6368547,0,1
G,-9.148168853,232.0821272,1,0
G,27.95090108,2.125196121,1,0
I,7.556465772,-17.25594429,0,1
H,38.23120284,600.8292619,0,1
H,-1.519993189,238.3622474,0,0
G,-30.6296179,598.5158361,1,0
I,-19.5198775,148.777109,0,1
F,38.38655886,-236.2781178,1,1
H,-21.44823335,318.9653478,0,1
I,-21.9944918,198.7811642,0,0
I,3.89094456,225.8127519,0,1
I,-5.608617169,-31.81269195,1,0
F,18.28527138,110.2555921,1,0
I,9.535043324,226.7314035,0,0
G,8.207179556,325.4320811,1,1
H,19.37384957,283.974754,0,1
I,11.16727707,38.58182033,1,1
H,32.81101089,608.421783,0,0
G,25.98378607,-43.64536149,1,1
I,-26.42099028,92.9651196,1,1
F,-14.50001109,166.5359361,1,1
I,19.46541023,127.9038344,0,1
G,-8.506576876,364.1034061,0,0
G,-1.974754018,58.53009813,1,1
H,13.13057154,447.7567973,0,1
I,-0.335958814,5.523079903,1,1
F,10.52061834,235.0924053,1,1
H,-10.85128407,181.3301553,0,1
I,9.241291217,-13.02514814,1,1
G,-2.82531213,137.2654677,1,0
F,7.264920358,-25.81563461,1,1
I,9.272311556,5.451733004,1,1
F,12.35175981,144.9482799,1,0
H,20.2824989,281.4784798,0,0
G,12.75918457,-94.27395553,1,0
H,-2.10304573,148.5677097,0,1
F,11.88271433,0.532128458,1,1
H,-7.448306969,308.3855019,0,1
H,4.609596853,388.718662,0,1
H,-17.38385523,302.2400329,0,0
G,5.205190107,118.9651645,1,1
G,28.38649978,-226.1980802,0,0
G,10.18885215,278.6556743,1,1
H,-11.73354663,412.6461995,0,0
G,3.401638092,56.480494,1,1
I,23.15407465,-126.1907392,1,1
I,22.27342264,1.142545521,1,0
H,-30.8172968,272.925547,0,0
I,-0.480343081,17.53850395,1,1
I,15.52440149,103.4623276,1,0
G,26.33982879,41.76197462,1,1
G,11.11652353,145.917056,1,0
H,-8.215426249,174.5781304,0,1
F,31.90336091,15.85907773,1,0
H,-14.68027061,291.9150234,0,1
F,13.77027747,28.55422517,1,1
H,24.60151573,383.2330095,0,1
I,12.86819839,-128.6559214,1,1
F,-66.67869638,805.1363809,1,1
G,-6.479138217,365.8479188,1,0
F,32.87597074,-32.52644963,0,1
I,12.78285009,122.2241035,1,1
I,10.29083065,-70.31063367,1,1
G,23.36571791,-33.7878991,1,0
I,36.52846282,-97.77287144,1,1
H,-5.926167736,223.4323824,0,0
H,19.50174098,763.2811623,0,1
I,0.64592698,134.9973848,1,0
F,46.24779928,-283.4704127,1,1
I,8.258981135,5.762990927,1,1
F,33.54649979,120.3338888,1,1
F,-15.50751923,326.389157,1,0
I,3.847701738,141.4045622,1,1
F,31.98239881,-211.2789935,1,0
H,-28.89093166,65.64008706,0,0
I,-2.221018454,244.2927404,1,1
I,2.63205751,-143.8521851,1,0
G,-14.46164568,517.0319313,1,0
G,4.690717844,169.3862375,1,0
H,-7.575010196,380.5376033,0,1
H,-38.74238109,209.8797379,0,1
G,-7.456846069,320.7617592,1,1
F,17.59900692,-57.47278234,1,1
F,32.43896574,-48.73459773,1,0
H,7.36036788,680.6577767,0,0
H,17.6373294,554.1606631,0,1
I,9.285437424,-12.36321562,0,0
H,-19.4592169,112.1749739,0,1
I,8.158797248,-59.31088507,1,0
H,-32.68478537,-43.1897157,0,0
G,-1.845470113,236.719743,1,1
G,-13.69349606,111.2429091,1,0
H,0.42978727,122.6854409,0,1
H,-19.89066459,-102.738478,0,0
H,-11.50853621,251.6706404,0,0
F,9.294192792,271.631674,1,1
G,0.476588366,399.960693,1,0
G,-5.007037918,108.3660072,1,0
I,-6.543363032,14.17009422,1,0
I,26.30007909,-176.9768198,1,1
I,13.4839211,-64.52021009,1,1
G,23.74229553,172.0621695,1,1
H,-6.032891328,146.2383048,0,0
F,-2.570335388,165.8071862,1,1
F,21.32592672,73.49817391,0,0
I,-13.1967679,29.75669273,0,0
I,7.522821528,97.394134,1,1
I,26.4764126,27.95663152,1,1
G,-44.39299052,423.6374645,1,1
F,22.25236583,186.6308239,1,1
G,8.309474711,66.10178959,1,1
H,-5.813578676,295.7109658,0,0
F,6.774099427,115.7486381,1,1
H,29.53459928,650.5642326,0,1
F,-23.45676178,428.4038627,1,0
I,44.76892454,-65.32821138,1,1
F,35.12988779,-183.6410381,1,0
G,24.07142985,138.2726818,0,0
G,-19.21779521,589.249461,1,1
G,-21.85089398,303.867491,1,1
H,9.942915855,393.3256387,0,1
G,12.43878657,107.3654313,1,1
F,19.80230538,83.55559153,1,1
H,4.646704861,88.89873825,0,1
H,37.49322865,657.9362336,0,1
G,3.430229325,243.4508679,1,1
I,-21.37166501,52.48468161,1,1
G,30.04388595,101.7798421,1,0
H,-4.167374025,173.9395937,0,1
I,3.23256558,172.153963,0,0
I,6.955665937,-81.73744835,1,0
F,29.41571215,-60.00886088,0,0
G,14.79942085,61.27265828,1,0
I,6.108672201,153.2928552,1,1
I,20.01123081,-5.725901519,1,1
I,-22.17947141,-84.97668917,1,0
G,1.99843192,157.3556892,1,0
G,-7.560530405,524.348438,0,1
F,5.486447436,79.05994806,1,1
H,27.82724987,711.3773971,0,1
F,81.74838985,-484.223202,1,1
F,2.184313372,93.57551362,1,0
G,48.24119124,-73.38445351,1,0
F,22.89305229,-95.29650298,1,0
H,-29.08986238,79.71741388,0,0
I,-20.78983955,147.0947172,1,0
G,4.681647485,441.2629058,1,1
F,10.51218831,-34.46233576,1,0
H,-43.48921273,-88.33996081,0,1
H,-0.264401957,268.7339179,0,0
G,13.45891821,173.5208799,1,0
G,-11.84973061,301.9528457,1,1
G,40.59927925,-63.57622041,1,0
G,-11.99698453,284.9660364,1,0
H,-8.685134747,420.3064171,0,0
F,21.49671847,218.7916964,0,1
H,-28.69220219,454.4866552,0,1
F,34.34933395,-59.90966953,1,0
I,45.39013212,-24.85320033,1,1
F,36.86649628,-95.52206676,1,0
I,32.74541824,72.72353526,1,0
G,-6.540911685,258.0069927,1,1
H,3.326035943,276.855272,0,1
F,2.972992977,56.25954281,1,0
G,57.08108163,-288.2248079,1,0
I,-10.73324995,-31.1712988,0,0
F,15.15227822,163.8656356,1,0
F,9.878061893,217.6771174,1,0
G,1.978211415,334.2732127,1,1
G,-13.67066234,261.7264619,1,1
I,12.14712572,-136.407625,1,0
H,-7.234130711,345.6495752,0,1
I,18.42266226,31.61856062,1,1
H,-9.045686133,320.0732984,0,0
I,26.71425556,0.722327048,1,1
I,1.288731204,-29.92097659,1,0
F,48.87911011,-188.4684477,1,0
G,12.34854044,67.10794049,1,0
H,-47.70222926,133.8150457,0,0
H,1.654436057,487.1672534,0,1
F,13.75154689,454.7763443,1,1
G,-17.87156588,548.9128689,1,0
H,-16.21502761,232.321948,0,1
F,-10.7145362,262.1253302,1,0
H,18.08113939,375.9236099,0,1
G,-17.14842276,433.6848548,1,0
I,10.3659058,25.99872029,1,0
F,-16.45740809,397.0346213,1,1
H,21.19593215,369.1837227,0,0
H,8.13812445,503.5161578,0,0
H,-10.30250222,217.0942373,0,1
G,-3.250768898,-38.21994839,1,1
H,3.780518572,332.6513378,0,0
G,-5.186351075,160.8979715,1,1
H,-15.93423821,292.6257911,0,0
H,-13.01297886,51.1563445,0,0
H,2.459585689,558.8658097,0,0
H,21.72654198,648.8258133,0,1
I,6.818348575,145.0399078,1,0
H,23.99116516,594.4934561,0,1
G,20.45926579,137.7573095,1,1
I,10.49805584,-45.18628012,1,1
H,-17.82098649,-21.94156863,0,0
I,42.07968504,232.7937372,1,1
H,-17.46785874,35.09698943,0,1
I,13.90949631,-29.26193876,1,1
I,-32.73086322,-4.423635468,1,1
I,26.08145645,-72.77584311,1,0
F,-9.171638812,335.9467469,1,0
F,-23.79748433,497.3946644,1,0
F,20.18795989,67.60909927,1,0
I,36.71251572,-191.3126466,1,0
F,10.1951694,203.6442695,1,1
G,-32.39841022,383.2508326,1,0
F,29.20890651,4.696001779,1,0
H,45.05629604,671.6471672,0,1
F,7.676739903,82.48266083,1,1
G,7.402375831,240.124698,1,0
H,-25.73875055,-8.909033646,0,1
H,-42.90939182,-268.906852,0,1
G,10.86116108,-19.84123077,1,1
G,27.15150374,-59.96641788,1,1
I,-7.067225418,-170.8358625,0,0
H,33.85513018,572.0718595,0,0
H,-4.733367467,484.6905893,0,1
I,-1.346179083,-37.65971468,1,1
H,-14.84152749,-101.4604291,0,1
I,1.135296032,-13.39091686,1,1
H,33.96249218,496.6547987,0,1
F,47.19864019,-461.0127896,1,0
G,3.183334122,220.3208014,1,0
G,8.942226103,-147.8139311,0,1
H,2.657985786,127.8506872,0,0
G,13.26112527,102.4786783,1,1
G,15.42333812,121.2065157,1,0
F,37.62018628,63.72897465,1,0
G,18.97831018,76.07044469,1,0
G,-3.927410691,-25.80876085,1,1
F,28.02914391,-285.5059939,1,0
I,-49.11799588,16.61512814,1,1
G,6.075907431,143.9007171,1,1
G,39.39519948,-292.0451436,1,0
I,17.64633125,34.12523386,1,1
H,14.46081934,304.734256,0,1
G,30.6581069,-118.3199238,1,1
H,10.3959093,279.3888625,0,1
I,7.31198229,-271.2863551,1,0
H,-30.44634523,131.2321098,0,0
F,39.01038291,-219.5425776,1,0
G,-13.28367317,151.5467497,1,0
I,3.681632723,195.5473364,1,0
H,16.3282479,374.1700112,0,1
F,6.298968106,23.18665597,1,1
F,24.52307538,159.7787911,1,1
G,-5.498357871,498.2893395,1,0
I,-7.948416501,-87.0070959,0,0
G,38.43482307,-176.9583048,1,1
F,-0.355480877,263.8646706,0,1
G,-28.04522555,516.2761187,1,0
H,-48.94029309,-188.4630437,0,1
H,25.26927946,392.4919599,0,1
F,11.37028643,260.6113697,1,1
H,4.32689168,429.919653,0,1
I,23.62474082,-182.6059544,1,1
G,-38.9697922,491.3260099,1,1
H,-45.44831717,-177.0567245,0,0
G,32.16305881,-364.1035416,1,1
I,5.52447629,-226.4779359,1,0
G,20.2095301,-143.557609,1,1
F,7.538819874,106.6446592,0,1
I,-22.18019253,-47.70612566,1,1
H,-40.95930321,70.79296614,0,0
I,8.712473759,20.64868652,1,1
G,7.058783094,262.8589336,1,1
I,20.48156292,1.946491573,0,0
G,15.50437503,165.9698646,0,1
G,10.56627636,-42.7144088,1,0
F,-14.57305785,436.7394604,1,1
H,-36.1949683,73.56626215,0,1
H,-29.21700839,114.2956323,0,1
H,-38.88928143,-60.44038659,0,0
G,1.444574644,98.83712716,0,1
G,11.35027932,109.8915126,1,1
H,-25.25508113,191.0616202,0,1
H,-18.20172722,-12.84499879,0,0
I,19.15737209,-49.0514147,1,1
I,-8.1971397,-282.8098908,1,1
H,-31.98898376,-132.903535,0,1
I,4.891987577,-41.10171409,1,1
H,8.229637609,413.8509034,0,0
F,0.214843515,339.4303242,1,1
H,-22.21859765,-12.25481498,0,1
F,-23.22355028,387.9476107,1,1
I,10.88358882,76.37756036,0,0
G,-8.39467634,87.47967304,1,1
H,1.770020403,172.2581276,0,0
I,-25.2508028,87.63379492,1,1
H,20.6716204,299.3350896,0,1
I,12.31373057,-85.21929226,1,1
F,37.10005742,-142.0607197,1,1
F,42.84265641,-12.72105041,1,0
H,26.76230728,376.210075,0,1
F,10.14878456,273.1315097,1,0
I,-31.16168046,-205.0868148,0,0
F,-7.607840421,341.0633959,1,1
F,29.89620759,308.4175872,1,1
I,-35.7302727,156.3271939,1,1
